games,year,season,noc,country,gold,silver,bronze,total
2018 Winter,2018,Winter,NOR,Norway,14,14,11,39
2018 Winter,2018,Winter,GER,Germany,14,10,7,31
2018 Winter,2018,Winter,CAN,Canada,11,8,10,29
2018 Winter,2018,Winter,USA,United States,9,8,6,23
2018 Winter,2018,Winter,NED,Netherlands,8,6,6,20
2018 Winter,2018,Winter,SWE,Sweden,7,6,1,14
2018 Winter,2018,Winter,KOR,Republic of Korea,5,8,4,17
2018 Winter,2018,Winter,SUI,Switzerland,5,6,4,15
2018 Winter,2018,Winter,FRA,France,5,4,6,15
2018 Winter,2018,Winter,AUT,Austria,5,3,6,14
2018 Winter,2018,Winter,JPN,Japan,4,5,4,13
2018 Winter,2018,Winter,ITA,Italy,3,2,5,10
2018 Winter,2018,Winter,OAR,Olympic Athletes from Russia,2,6,9,17
2018 Winter,2018,Winter,CZE,Czechia,2,2,3,7
2018 Winter,2018,Winter,BLR,Belarus,2,1,0,3
2018 Winter,2018,Winter,CHN,People's Republic of China,1,6,2,9
2018 Winter,2018,Winter,SVK,Slovakia,1,2,0,3
2018 Winter,2018,Winter,FIN,Finland,1,1,4,6
2018 Winter,2018,Winter,GBR,Great Britain,1,0,4,5
2018 Winter,2018,Winter,POL,Poland,1,0,1,2
2018 Winter,2018,Winter,HUN,Hungary,1,0,0,1
2018 Winter,2018,Winter,UKR,Ukraine,1,0,0,1
2018 Winter,2018,Winter,AUS,Australia,0,2,1,3
2018 Winter,2018,Winter,SLO,Slovenia,0,1,1,2
2018 Winter,2018,Winter,BEL,Belgium,0,1,0,1
2018 Winter,2018,Winter,NZL,New Zealand,0,0,2,2
2018 Winter,2018,Winter,ESP,Spain,0,0,2,2
2018 Winter,2018,Winter,KAZ,Kazakhstan,0,0,1,1
2018 Winter,2018,Winter,LAT,Latvia,0,0,1,1
2018 Winter,2018,Winter,LIE,Liechtenstein,0,0,1,1
2020 Summer,2020,Summer,USA,United States,39,41,33,113
2020 Summer,2020,Summer,CHN,People's Republic of China,38,32,19,89
2020 Summer,2020,Summer,JPN,Japan,27,14,17,58
2020 Summer,2020,Summer,GBR,Great Britain,22,20,22,64
2020 Summer,2020,Summer,ROC,Russian Olympic Committee,20,28,23,71
2020 Summer,2020,Summer,AUS,Australia,17,7,22,46
2020 Summer,2020,Summer,NED,Netherlands,10,12,14,36
2020 Summer,2020,Summer,FRA,France,10,12,11,33
2020 Summer,2020,Summer,GER,Germany,10,11,16,37
2020 Summer,2020,Summer,ITA,Italy,10,10,20,40
2020 Summer,2020,Summer,CAN,Canada,7,7,10,24
